country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","02-12-2025 22:00:00",24.792403,84.992416,PM10,NA,NA,NA
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","02-12-2025 22:00:00",24.792403,84.992416,NO2,NA,NA,NA
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","02-12-2025 22:00:00",24.792403,84.992416,SO2,NA,NA,NA
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","02-12-2025 22:00:00",24.792403,84.992416,CO,20,43,27
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","02-12-2025 22:00:00",24.762518,84.982348,NO2,17,23,21
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","02-12-2025 22:00:00",25.697189,85.245900,PM2.5,89,330,203
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","02-12-2025 22:00:00",25.697189,85.245900,NO2,23,47,35
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","02-12-2025 22:00:00",25.697189,85.245900,OZONE,5,163,73
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","02-12-2025 22:00:00",25.560083,87.553265,SO2,NA,NA,NA
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","02-12-2025 22:00:00",25.560083,87.553265,CO,48,94,78
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","02-12-2025 22:00:00",16.5150833,80.5181667,NH3,4,5,4
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","02-12-2025 22:00:00",16.5150833,80.5181667,OZONE,27,55,46
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","02-12-2025 22:00:00",14.675886,77.593027,PM10,47,107,67
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","02-12-2025 22:00:00",14.675886,77.593027,SO2,12,14,13
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","02-12-2025 22:00:00",14.675886,77.593027,OZONE,NA,NA,NA
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","02-12-2025 22:00:00",14.465052,78.824187,OZONE,21,24,22
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","02-12-2025 22:00:00",16.9872867,81.7363176,PM10,57,110,82
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","02-12-2025 22:00:00",16.9872867,81.7363176,SO2,4,8,6
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","02-12-2025 22:00:00",25.265194,87.012947,CO,68,108,96
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","02-12-2025 22:00:00",25.204762,85.514960,SO2,10,10,10
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","02-12-2025 22:00:00",25.567520,83.966379,PM2.5,58,237,116
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","02-12-2025 22:00:00",25.567520,83.966379,OZONE,8,155,88
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","02-12-2025 22:00:00",25.7808257,84.7446768,PM10,32,79,55
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","02-12-2025 22:00:00",25.7808257,84.7446768,SO2,19,23,21
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","02-12-2025 22:00:00",25.7808257,84.7446768,CO,8,23,16
India,Assam,Silchar,"Tarapur, Silchar - PCBA","02-12-2025 22:00:00",24.82827,92.79525,SO2,3,33,11
India,Assam,Silchar,"Tarapur, Silchar - PCBA","02-12-2025 22:00:00",24.82827,92.79525,OZONE,1,3,2
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","02-12-2025 22:00:00",26.987634,94.636574,SO2,6,11,9
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","02-12-2025 22:00:00",25.5626095,84.663264,PM10,NA,NA,NA
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","02-12-2025 22:00:00",25.5626095,84.663264,SO2,NA,NA,NA
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","02-12-2025 22:00:00",25.5626095,84.663264,OZONE,6,10,8
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","02-12-2025 22:00:00",13.67,79.35,PM10,8,25,14
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","02-12-2025 22:00:00",13.615387,79.409230,NH3,3,4,4
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","02-12-2025 22:00:00",13.615387,79.409230,OZONE,16,17,17
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","02-12-2025 22:00:00",16.536107,80.594233,NO2,16,24,22
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","02-12-2025 22:00:00",16.536107,80.594233,SO2,8,18,15
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","02-12-2025 22:00:00",17.72,83.3,PM10,97,124,111
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","02-12-2025 22:00:00",17.72,83.3,CO,25,53,43
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","02-12-2025 22:00:00",26.071318,91.87488,NH3,4,4,4
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","02-12-2025 22:00:00",26.071318,91.87488,OZONE,15,22,20
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","02-12-2025 22:00:00",26.10887,91.589544,PM10,26,88,62
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","02-12-2025 22:00:00",26.349082,92.68449,NO2,1,1,1
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","02-12-2025 22:00:00",26.446912,91.439057,SO2,7,8,8
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","02-12-2025 22:00:00",25.251013,86.989001,PM2.5,33,83,54
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","02-12-2025 22:00:00",25.251013,86.989001,NO2,7,11,9
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","02-12-2025 22:00:00",25.251013,86.989001,CO,13,18,16
India,"Andaman and Nicobar","Sri Vijaya Puram","Police Line, Sri Vijaya Puram - ANPCC","02-12-2025 22:00:00",11.654054,92.734055,NO2,NA,NA,NA
